ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
170,16027090,MESA LA ,LM,HID,CON,SUS,NORTE DE SANTANDER,EL ZULIA,7.9333333,-72.65,15/03/1969,15/01/1989
171,16027100,CORNEJO ,LG,HID,CON,ACT,NORTE DE SANTANDER,SAN CAYETANO,7.9013889,-72.633889,15/03/1969,
172,16027110,TAPONERA LA ,LM,HID,CON,SUS,NORTE DE SANTANDER,SAN CAYETANO,7.9166667,-72.633333,15/05/1973,15/01/1989
173,16027130,ZULIA PTE OSPINA ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,7.9333333,-72.566667,15/01/1967,15/01/1974
174,16027140,ZUMALLERO ALTO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.0666667,-72.583333,15/10/1980,15/09/2005
175,16027150,ZUMALLERO BAJO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.0833333,-72.583333,15/10/1980,15/01/1990
176,16027160,ASTILLEROS ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.1,-72.583333,15/10/1980,15/01/1990
177,16027170,Z-6 ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.1,-72.533333,15/10/1980,15/01/1990
178,16027180,LONDRES ALTO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.15,-72.483333,15/10/1980,15/01/1990
179,16027190,LONDRES BAJO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.2166667,-72.516667,15/10/1980,15/01/1990
180,16027200,BUENA ESPERANZA ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.15,-72.483333,15/10/1980,15/01/1990
181,16027210,FLORENZA INTERMEDI ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.1666667,-72.466667,15/10/1980,15/01/1990
182,16027220,FLORESTA ALTO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.1666667,-72.466667,15/10/1980,15/01/1990
