ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1877,15080030,TAPARAJIN ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.0666667,-71.566667,15/07/1971,15/10/1979
1878,15080040,SIAPANA    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.0694722,-71.3185,15/07/1971,
1879,15080050,HUIMPECHT ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.6333333,-72,15/07/1971,15/10/1979
1880,15080060,PARAGUACHON    ,PM,MET,CON,ACT,LA GUAJIRA,MAICAO,11.3601389,-72.132444,15/07/1971,
1881,15080070,SILLAMANA    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,11.8994167,-71.515889,15/07/1971,
1882,15080080,JASAY    ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,11.7904167,-71.964722,15/07/1971,6/1/2016
1883,15080090,PTO LOPEZ   ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,11.9342778,-71.2825,15/09/1937,
1884,15080100,PAN GRANDE ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.1,-72.45,15/10/1975,15/11/1993
1885,15080110,CHINGOLITA LA ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.2980556,-72.191389,15/07/1992,18/08/2009
1886,15080140,CARRAIPIA ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.2666667,-72.366667,15/05/1966,15/11/1971
1887,15080150,MAICAO ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.3833333,-72.25,15/08/1937,15/02/1972
1888,15085010,APTO MAICAO ,CP,MET,CON,SUS,LA GUAJIRA,MAICAO,11.4,-72.25,15/06/1971,15/06/1996
1889,15085020,NAZARETH ,CP,MET,CON,ACT,LA GUAJIRA,URIBIA,12.1788889,-71.283889,15/07/1971,
1890,15085030,ESC AGR CARRAIPIA  ,CO,MET,CON,ACT,LA GUAJIRA,MAICAO,11.21675,-72.359944,15/10/1968,
1891,15085040,RANCHO GRANDE   ,CO,MET,CON,ACT,LA GUAJIRA,URIBIA,11.6860556,-71.833056,15/07/1971,
1892,15085050,TOROMANA AUTOMATICA ,CP,MET,AUT,ACT,LA GUAJIRA,URIBIA,12.0835278,-71.210944,18/04/2005,
1893,15087010,CARRAIPIA    ,LG,HID,CON,ACT,LA GUAJIRA,MAICAO,11.2341111,-72.358806,15/08/1971,
1894,15087020,SIPANAO ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1333333,-71.25,15/07/1971,15/02/2002
